,index,image url,above text,below text,source markdown file
0,0,https://storage.googleapis.com/docs-media.encord.com/static/img/aws-lambda-container.png                                                                             ,"Automatically save labels to AWS S3
                                                                                                                                                                           
                                                                                                                                                                           <Info>We strongly recommend that highly technical users (examples: IT professionals, software developers, or system administrators) are the ones who perform the steps outlined in this process. </Info>
                                                                                                                                                                           
                                                                                                                                                                           Typically, after labeling your data with Encord, the labels are used to training your ML models. This process typically includes transferring your labels to cloud storage. To streamline this, follow the steps below to automatically save your labels to your cloud storage upon their creation:
                                                                                                                                                                           
                                                                                                                                                                           1. Create an IAM policy for a Lambda function.
                                                                                                                                                                           2. Paste the following JSON into the JSON policy editor, replacing  with the name of the S3 bucket you want to export your labels to.
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           3. Create an IAM role for Lambda, and attach the policy you created in Step 1.
                                                                                                                                                                           
                                                                                                                                                                           4. Create a new directory on your computer to store the components for your container image. The directory must include:
                                                                                                                                                                           - The lambda function script provided below. You must replace \<s3_bucket_name\> with your S3 bucket name. We recommend saving the script as .
                                                                                                                                                                           - The docker file provided below.
                                                                                                                                                                           - A text file named  to store your private key. The key is used for authentication with Encord.
                                                                                                                                                                           
                                                                                                                                                                           <Warning>
                                                                                                                                                                           Creating a file called  to store your private key path is the simplest way, but not a secure way of ensuring the Lambda function can authenticate with Encord. Alternatives include, but are not limited to:
                                                                                                                                                                           - Environment variables in AWS.
                                                                                                                                                                           - AWS secrets manager.
                                                                                                                                                                           </Warning>
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           5. Create a private ECR repository in AWS to store your container image. Record the path to the ECR repository you create.
                                                                                                                                                                           
                                                                                                                                                                           6. Create a Docker container image for the Lambda function. Use the command line to navigate to the directory you created in step 4. The following command shows an example with a tag containing a version number appended to the repository path:
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           7. Push your container image to the private ECR repository you created in step 5. The following command shows an example with a tag containing a version number appended to the repository path:
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           
                                                                                                                                                                           8. Create a Lambda function in AWS.
                                                                                                                                                                           
                                                                                                                                                                           - Select the **Container image** option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ","- Give the Lambda function a meaningful name.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   - Click **Browse images** and select the container image from your ECR repository.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   - Select the role you created in step 3 as the Execution role.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   9. Add a trigger for the Lambda function. Record the URL.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   10. In Encord, set up a webhook on the _Complete_ stage of your Project to send label information to your Lambda function. Use the URL of the trigger you created in step 8 for the webhook. The payload sent out by the webhook can be seen here.                                                                                                                                                                                                                                                                                                                                                                                                       ",platform-documentation/Annotate/general-sync-work-to-cloud-storage.mdx
1,1,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-object-detection.png                                                                   ,"Object detection models are trained to identify and label specific objects in your data using bounding boxes. For example, an object detection model can be trained to detect apples, and then used within a video project to label instances of apples within videos.
                                                                                                                                                                           
                                                                                                                                                                           | **Ontology shape**     | **Supported?** |
                                                                                                                                                                           |------------------------|-------------------|
                                                                                                                                                                           | Bounding box           | ✅                 |
                                                                                                                                                                           | Rotatable bounding box | ❌                 |
                                                                                                                                                                           | Polygon                | ✅                 |
                                                                                                                                                                           | Polyline               | ❌                 |
                                                                                                                                                                           | Primitive              | ❌                 |
                                                                                                                                                                           | Keypoint               | ❌                 |
                                                                                                                                                                           | Bitmask                | ✅                 |
                                                                                                                                                                           
                                                                                                                                                                           <Note>
                                                                                                                                                                           Object detection models assume there are potentially multiple objects in an image that need to be detected and
                                                                                                                                                                           classified.
                                                                                                                                                                           </Note>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/models-object-detection.mdx
2,2,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/automated-labeling.png                                                                        ,"Working with object detection models
                                                                                                                                                                           
                                                                                                                                                                           Once a model has been attached to a project it can be used to perform the functions it has been trained on. Inside the label editor, click the **Automated labeling** button highlighted in the image below.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","Open the 'Detection and segmentation' section, as seen in the screenshot below.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",platform-documentation/Annotate/models-object-detection.mdx
3,3,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/run-model.png                                                                                 ,"Open the 'Detection and segmentation' section, as seen in the screenshot below.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","- Select the model you would like to run. You will be able to choose from a list of models previously attached to the project.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   - The 'Detection range' lets you determine the start and end frames you would like the model to run on.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   - Set the _Confidence_. A value ranging from 0 to 1 that represents how confident the model has to be in order for a particular data point to be included in its output. Read more about confidence values here.                                                                                                                                                                                                                                                                                                                                                                                                                                         ",platform-documentation/Annotate/models-object-detection.mdx
4,4,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-classification.png                                                                     ,"Classification models predict frame-level classifications in a project's Ontology. Rather than labeling objects within the data, classification models learn to characterize the frame as a whole. For example, a classification model trained to distinguish night from day can be used to determine whether a given image was taken during the day, or at night.
                                                                                                                                                                           
                                                                                                                                                                           <Note>Classification models assume there is only one correct class per image. </Note>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,platform-documentation/Annotate/models-classification.mdx
5,5,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/automated-labeling.png                                                                        ,"Working with classification models
                                                                                                                                                                           
                                                                                                                                                                           Once a model has been attached to a project it can be used to perform the functions it has been trained on. Inside the label editor, click the **Automated labeling** button highlighted in the image below.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","To run inference with a classification model, open the 'Classification' section.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",platform-documentation/Annotate/models-classification.mdx
6,6,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/classification-model.png                                                                      ,"To run inference with a classification model, open the 'Classification' section.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ","- Select the model you would like to run. You will be able to choose from a list of models previously attached to the project.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   - Specify the _Classification range_ to set the range of frames over which the model is run.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   - Set the _Confidence_. A value ranging from 0 to 1 that represents how confident the model has to be in order for a particular data point to be included in its output. Read more about confidence values here.                                                                                                                                                                                                                                                                                                                                                                                                                                         ",platform-documentation/Annotate/models-classification.mdx
7,7,https://storage.googleapis.com/docs-media.encord.com/static/img/create-model-new.png                                                                                 ,"Creating models
                                                                                                                                                                           
                                                                                                                                                                           To create a model:
                                                                                                                                                                           1. Navigate to _Models_ in the _Agents_ of the Encord platform
                                                                                                                                                                           2. Click the **+ New model** button.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","3. Enter a title and optionally a description for your model. Select a Model type, Framework, Model, and set up the model's Ontology.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   4. After all specifications for your model have been set, click the **Create model** button to complete the model creation process.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",platform-documentation/Annotate/models.mdx
8,8,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/setting-up-model.png                                                                          ,"3. Enter a title and optionally a description for your model. Select a Model type, Framework, Model, and set up the model's Ontology.
                                                                                                                                                                           
                                                                                                                                                                           4. After all specifications for your model have been set, click the **Create model** button to complete the model creation process.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,platform-documentation/Annotate/models.mdx
