,index,image url,Answer,Question
0,0,https://storage.googleapis.com/docs-media.encord.com/static/img/aws-lambda-container.png                                                                             ,"You should select the 'Container image' option, which is highlighted in the screenshot. This allows you to deploy a function using a container image.",What option should I choose to deploy a Lambda function using a container image?
2,2,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/automated-labeling.png                                                                        ,"To start automated labeling, click the 'Automated labeling' button located at the bottom left corner of the interface, highlighted with a blue border.",How do I start automated labeling in this interface?
3,3,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/run-model.png                                                                                 ,You can select a different model by clicking on the dropdown menu that currently shows 'Apple detection model (9220036b-2f9a-46bc-9fd1-528214b8b260)'. This will allow you to choose from a list of models previously attached to the project.,How can I select a different model to run in the Detection and segmentation section?
4,4,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-classification.png                                                                     ,"You should select the 'Classification' model type, which is already chosen in the screenshot.",What model type should I select for a day/night image classification task?
5,5,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/automated-labeling.png                                                                        ,"To start using the classification model for automated labeling, click the 'Automated labeling' button located at the bottom left of the screen in a red box.",How do I start using the classification model for automated labeling?
6,6,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/classification-model.png                                                                      ,"To change the model used for classification, click on the dropdown currently showing 'Day or Night (RESNET_101)' and select a different model from the list of models previously attached to the project.",How can I change the model used for classification?
7,7,https://storage.googleapis.com/docs-media.encord.com/static/img/create-model-new.png                                                                                 ,"To create a new model, click the '+ New model' button located at the top right of the screen.",How do I start creating a new model?
8,8,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/setting-up-model.png                                                                          ,"You can add a description to your model by typing it into the 'Description (optional)' text box on the left side, below the 'Title of model'. You can enter any text that describes your model's purpose.",How do I add a description to my model?
9,9,https://storage.googleapis.com/docs-media.encord.com/static/img/train-model-2.png                                                                                    ,"The 'Day and night' model specializes in detecting day and night time, as indicated by the text under the model name.",What does the 'Day and night' model specialize in?
10,10,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/set-up-model-for-training.png                                                                 ,"To select the project for training, use the 'Select project' dropdown on the left side. In this screenshot, 'Apple Project' is currently selected.",How do I select the project for training my model?
11,11,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/set-up-model-for-training.png                                                                 ,The number '500' under 'Epochs' indicates that the model will go through the entire training dataset 500 times. The 'Batch size' of '24' means that 24 samples of data will be used in each training iteration.,What do the numbers under 'Epochs' and 'Batch size' indicate in the training configuration?
12,12,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/delete-model.png                                                                              ,"To delete the 'Apple detection model', navigate to the 'Danger zone' in the 'Settings' tab and click on the 'Delete model' button.",How can I delete the 'Apple detection model'?
13,13,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/attach-model.png                                                                              ,"To attach a model, navigate to the 'Models' tab and click on the '+ Attach a model' button, which is located on the right side of the screen next to the 'New' label.",How do I attach a model to my project in this interface?
14,14,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/attaching-model-2.png                                                                         ,"In the 'Select a model' section on the left, click on the dropdown menu and choose the 'Apple detection ...' option. Ensure the 'Apple' model is also selected under it.",How do I select the Apple model I want to attach to my project?
15,15,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/detach-model.png                                                                              ,"To detach the 'Car detection model' from this project, click on the 'Settings' icon next to the model name and select 'Detach model.'",How can I detach the 'Car detection model' from this project?
16,16,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/model-weight-download.png                                                                     ,"To download the model weights for the current training iteration, click the 'Download' button located on the right side of the screen under the tab section.",How can I download the model weights for the current training iteration?
17,17,https://storage.googleapis.com/docs-media.encord.com/static/img/admins/settings/annotate-settings.png                                                                ,"To change your password, navigate to the 'General' tab on the Settings page. There you will find the 'Change Password' button next to the password field.",How can I change my password?
18,18,https://storage.googleapis.com/docs-media.encord.com/static/img/admins/settings/annotate-settings-mfa.png                                                            ,"To access the settings for your account, click on the user menu icon at the upper right corner of the screen, then select 'Settings' from the dropdown menu.",Where can I access the settings for my account?
